시도별,주요 업종별,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022
시도별,주요 업종별,사업체수 (개),종사자수 (명),매출액 (백만원),영업비용 (백만원),인건비 (백만원),임차료 (백만원),기타영업비용 (백만원),연간급여액 (백만원),사업체수 (개),종사자수 (명),매출액 (백만원),영업비용 (백만원),매출원가 (백만원),인건비 (백만원),임차료 (백만원),기타영업비용 (백만원),연간급여액 (백만원),사업체수 (개),종사자수 (명),매출액 (백만원),영업비용 (백만원),매출원가 (백만원),인건비 (백만원),임차료 (백만원),기타영업비용 (백만원),연간급여액 (백만원),사업체수 (개),종사자수 (명),매출액 (백만원),영업비용 (백만원),매출원가 (백만원),인건비 (백만원),임차료 (백만원),기타영업비용 (백만원),연간급여액 (백만원),사업체수 (개),종사자수 (명),매출액 (백만원),영업비용 (백만원),매출원가 (백만원),인건비 (백만원),임차료 (백만원),기타영업비용 (백만원),연간급여액 (백만원)
서울특별시,외국식 음식점업,1824,10016,717691,637652,153807,85654,398191,147455,1806,9494,718347,648788,299478,168058,92447,88805,161764,1910,8756,673144,648076,274016,152133,87898,134029,148552,2442,10119,904549,856856,369632,197605,94072,195547,193294,2853,12128,1279733,1191658,539589,232207,115951,303911,224447
서울특별시,제과점업,1511,8283,702709,664975,81928,70127,512920,76340,1451,7347,613294,556336,329603,89743,72741,64248,89294,1500,7250,638690,607897,374209,78802,66184,88703,77025,1555,7664,694272,664987,390249,93476,66163,115099,91886,1632,7797,806046,774905,442847,112100,78330,141629,110508
서울특별시,"피자, 햄버거, 샌드위치 및 유사 음식점업",1915,10099,610047,557250,110019,58369,388862,104684,2314,12217,818662,731932,397043,159863,76692,98334,153815,2541,11379,895666,813601,414130,143153,81125,175194,139522,2700,11348,923119,862678,427907,140819,87074,206879,135850,2919,11947,1045695,988585,430923,162416,87509,307737,157387
서울특별시,치킨전문점,3690,11373,836252,736870,95466,77743,563661,88783,3761,11913,1062086,943774,597262,125632,103048,117833,116151,3975,11060,1078840,930803,526005,112669,93500,198628,106614,4051,10354,1273012,1125369,629351,115221,97302,283495,110319,4029,10098,1442291,1297955,744723,123271,86544,343417,116625
서울특별시,"김밥, 기타 간이음식점 및 포장 판매점",2444,9849,594322,536905,108576,67913,360416,96269,2533,9820,647422,568869,278470,120851,80079,89469,117634,2984,9484,721463,643186,315599,108099,72399,147089,101646,3264,10146,971544,844092,410998,158052,78675,196367,155342,3256,10286,1061880,950257,454204,149972,86740,259341,144385
서울특별시,생맥주 및 기타 주점업,1869,6659,462573,413965,73132,61493,279340,68452,1557,5540,386392,336047,166489,72360,55289,41908,71242,1486,4703,309715,274050,121592,53383,44446,54629,49820,1386,4081,289197,262467,111519,52406,44541,54001,51577,1500,4957,485509,422952,181479,78235,63372,99866,76427
서울특별시,커피 및 기타 비알코올 음료점업,4064,20405,946136,852711,198962,159045,494704,192059,4190,20921,1017871,893251,381566,213076,169711,128898,209055,4526,18853,940329,860228,315110,195618,163770,185730,184124,4772,19331,970482,887216,322478,197451,168103,199183,195022,5431,23750,1269080,1178799,414390,279005,202886,282518,273334
서울특별시,자동차 전문 수리업,852,3371,448290,406251,102100,29893,274258,83196,828,3549,418409,370666,192236,100511,34610,43308,95620,687,3087,395822,364836,171881,96042,32538,64374,87837,672,2926,401925,364451,158094,109242,30256,66860,107293,676,3037,440128,397250,189781,106802,30701,69967,103939
서울특별시,두발 미용업,1219,7850,395110,359587,96270,56210,207107,85546,1233,7806,393117,340409,76617,133138,59846,70808,117159,1310,7530,437064,374034,56271,122153,62102,133509,111686,1327,7587,470896,428837,74851,126266,64134,163587,112327,1397,8002,544391,475728,82855,132088,63814,196971,116762
서울특별시,가정용 세탁업,919,1756,97268,80426,14560,9718,56148,12445,960,1812,109133,85250,31940,12958,13416,26937,11662,941,1511,93778,84508,19056,12814,11840,40798,10218,984,1388,79773,71124,14279,7061,8069,41715,5099,954,1167,87221,76452,13430,4088,8731,50203,3711
